fabric_name,color
Raspberry Rose,#e50abe
Spiceberry,#910c57
London Red,#e60100
Aurora Red,#c21714
Coral Reef,#ff3456
Quartz Pink,#faa0cd
Crystal Pink,#febdde
Apricot Crepe,#fe9684
Grapefruit,#ff7f94
Peach Sherbet,#ffc29d
Dried Carrot,#ee633e
Burnt Orange,#e15e09
Mandarin,#ff8321
Turmeric,#e7aa00
Honey,#d4a025
Banana Cream,#ffcd2f
Canary,#f8ea00
Empire Yellow,#cec500
Dark Citron,#8fc20c
Appletini,#afd541
Lemonade,#cbfa2d
Honeydew,#e6e86b
Light Citron,#ddff68
Patina Green,#7bbe6e
Spruce,#4c8971
Emerald,#2ee55d
Mirage Blue,#6ef5b4
Cozumel Blue,#5dd7a3
Ocean Waves,#5dbeaa
Fresh Water,#9ff7cc
Tender Green,#c0f4b8
Sweet Mint,#d0fbbd
Icy Mint,#cdfedc
Tile Blue,#1d979e
Royal Cobalt,#1d3afc
Tranquil Waters,#a5efe6
Parisian Blue,#4184da
Mediterraneo,#275077
Nocturnal,#202e56
Blueberry Zest,#4e60b4
Cabernet,#2a173e
Verve Violet,#8b34be
Purple Pansy,#5b30e3
Mauvelous,#bea2cf
Festival Fuchsia,#d144dc
Cherry Lipgloss,#bf289c
Chocolate,#82401f
Snow,#ffffff
Linen White,#f3fad8
Light Gray,#d4e5c3
Mystic Grey,#c0cacc
Ash,#92aaa1
Moonstone,#526365
Caviar,#111517
Coffee Bean,#3a302e
Mink,#888067
Toasty Walnut,#cc956e
Macchiatto,#bfac82
Sandstone,#dad5c0
Creme De La Creme,#f6e2be
